Customer_name,Flag
AMERICAN INTERNATIONAL SCHOOL,Forex
PIRAMAL ENTERPRISES LIMITED,Forex
ASPIRE HOME FINANCE CORPORATIO,Forex
ITC LIMITED,Forex
ADANI ENTERPRISES LTD,Forex
DEWAN HOUSING FINANCE CORN LTD,Forex
ADANI BUNKERING PRIVATE LIMITE,Forex
AADHAR HOUSING FINANCE  LIMITE,Forex
REPCO HOME FINANCE LIMITED,Forex
ADANI HAZIRA PORT PVT LTD,Forex
ADANI PORTS AND SPECIAL ECONOM,Forex
ADANI TRANSMISSION (INDIA) LIM,Forex
ADANI ENNORE CONTAINER TERMINA,Forex
ADANI MURMUGAO PORT TERMINAL P,Forex
INDIAN SCHOOL OF PETROLEUM & E,Forex
GERMAN INTERNATIONAL SCHOOL PR,Forex
AMITY GLOBAL SCHOOLS PVT LTD,Forex
ADANI PETRONET (DAHEJ) PORT PV,Forex
SINGAPORE INTERNATIONAL SCHOOL,Forex
ADANI POWER MAHARASHTRA LTD,Forex
GRAND HYATT MUMBAI COLLECTION,Forex
ADANI GREEN ENERGY LIMITED,Forex
ADANI INTERNATIONAL CONTAINER,Forex
AVE MARIA NURSERY SCHOOL (FORM,Forex
KENSRI SCHOOL,Forex
SREENIDHI INTERNATIONAL SCHOOL,Forex
ADANI SYNENERGY LIMITED,Forex
NAVA BHARAT LIMITED COLLECTION,Forex
NATIONAL SCHOOL OF BUSINESS,Forex
ADANI DEVELOPERS PRIVATE LIMIT,Forex
EQUITAS HOUSING FINANCE LTD -,Forex
"ST MARY'S NURSERY SCHOOL,VASAN",Forex
MOUNT LITERA SCHOOL INTERNATIO,Forex
ADANI KANDLA BULK TERMINAL PRI,Forex
INDIAN PUBLIC SCHOOL PRIVATE L,Forex
SHRI SHAKTI SCHOOLS PRIVATE LT,Forex
THE BEACON HOUSE SCHOOL,Forex
ADANI WILMAR LIMITED,Forex
ESSENCE COLLECTION PVT LTD,Forex
ADANI INFRA (INDIA) LIMITED,Forex
ADANI WILMAR LTD,Forex
VRUKSHA MONTESSORI SCHOOL,Forex
ADANI FOOD PRODUCTS PVT LTD,Forex
ADANI GREEN ENERGY (TAMILNADU),Forex
THE BLUE MOUNTAINS SCHOOL,Forex
ADANI POWER RAJASTHAN LTD,Forex
BISHOP COTTON SCHOOL SHIMLA,Forex
ADANI SHIPPING (INDIA) PRIVATE,Forex
HARVEST INTERNATIONAL SCHOOL,Forex
MUSSOORIE INTERNATIONAL SCHOOL,Forex
ESSAR OIL LIMITED,Forex
ESSAR PROJECTS (I) LIMITED,Forex
ESSAR STEEL INDIA LIMITED,Forex
ESSAR SHIPPING LIMITED FCCB IN,Forex
EDELWEISS COMMODITIES LIMITED,Forex
ESSAR ENGINEERS,Forex
ESSAR DIAMONDS,Forex
ALEMBIC PHARMACEUTICALS LTD,Forex
VARSITY DIVIDEND ACCOUNT 2016,Forex
'CENTRUM BROKING LIMITED-CENTR,Forex
DIRECTOR OF AGRICULTURE & FOOD,Forex
GEOJIT BNP PARIBAS FINANCIAL S,Forex
L&T-SUCG JV CC27 DELHI,Forex
MMTC-PAMP INDIA PRIVATE LIMITE,Forex
ROSE VALLEY HOTEL AND ENTERTAI,Forex
ECS DIVIDEND ACCOUNT 2014 OF M,Forex
NATIONAL INS CO LTD BR OFC-CHH,Forex
EVEREST INDUSTRIES LIMITED,Forex
JANALAKSHMI FINANCIAL SERVICE,Forex
M/S SERAJUDDIN & CO,Forex
SAF YEAST COMPANY  PRIVATE LIM,Forex
BSES RAJDHANI POWER LIMITED,Forex
INSTAKART SERVICES PVT LTD,Forex
EN RENEWABLE ENERGY LIMITED,Forex
STERLING INFORMATION RESOURCES,Forex
IL & FS TRANSPORTATION NETWORK,Forex
COX & KINGS LIMITED,Forex
AMAN PROJECT JAI PRAKASH ASSOC,Forex
VIDARBHA INDUSTRIES POWER LIMI,Forex
ADARSH CRADIT CO OPERATIVE SOC,Forex
HEAD INFOTECH INDIA PRIVATE LI,Forex
FORBES BUMI ARMADA OFFSHORE LI,Forex
HINDUSTAN OIL EXPLORATION COMP,Forex
OIL INDIA LTD,Forex
JOSHI TECHNOLOGIES INTERNATION,Forex
HILL COUNTY PROPERTIES LIMITED,Forex
SERUM INSTITUTE OF INDIA PVT,Forex
ACME CLEANTECH SOLUTIONS PRIVA,Forex
AUGMONT ENTERPRISES PRIVATE LI,Forex
EASTERN COALFIELDS LIMITED,Forex
IBS SOFTWARE SERVICES (P) LTD.,Forex
SINTEX INDUSTRIES LIMITED,Forex
ITD CEMENTATION  INDIA LIMITED,Forex
OASIS REALTY - CONSTRUCTION CO,Forex
SILVERSTREAM DEVELOPERS PRIVAT,Forex
CLUES NETWORK PRIVATE LIMITED,Forex
MUTHOOT FIN CORP LTD NI ZAMABA,Forex
SCM SILKS PRIVATE LIMITED,Forex
VODAFONE MOBILE SERVICES LIMIT,Forex
RITES APPLICATION FEE ACCOUNT,Forex
JHABUA POWER LIMITED,Forex
ENNORE PORT LIMITED - DIVIDEND,Forex
SEVERN GLOCON INDIA PRIVATE LI,Forex
CONTINENTAL AUTOMOTIVE BRAKE S,Forex
BARINDAR SINGH,Forex
L & T SHIPBUILDING LIMITED,Forex
FORTIS HEALTHCARE LIMITED FORM,Forex
GATES UNITTA INDIA COMPANY PVT,Forex
BSES YAMUNA POWER LIMITED,Forex
APOLLO HOSPITALS ENTERPRISE LI,Forex
DROOM TECHNOLOGY PRIVATE LIMIT,Forex
ELECTROSTEEL CASTINGS LIMITED,Forex
GLAZE TRADING INDIA PRIVATE LI,Forex
SHRIRAM GENERAL INSURANCE COMP,Forex
AVANTHA HOLDINGS LIMITED,Forex
BONUS PAYMENT A/C 2007-08 - HT,Forex
MUNDRA SOLAR PV LIMITED,Forex
JSC OGCC KAZSTROYSERVICE - PRO,Forex
TMEIC INDUSTRIAL SYSTEMS INDIA,Forex
STELLAR DIAMOND,Forex
MORGANITE CRUCIBLE (INDIA) LIM,Forex
MONEYGRAM PAYMENT SYSTEMS INC,Forex
PETRONET LNG LIMITED DIVIDEND,Forex
SCIENTIFIC PUBLISHING SERVICES,Forex
NAVAYUGA DIBANG INFRA PROJECTS,Forex
RARE TOWNSHIPS PRIVATE LIMITED,Forex
PAWAA SOFTWARE PRIVATE LIMITED,Forex
DIAMOND INDIA LTD,Forex
SHREE NAMAN DEVELOPERS LIMITED,Forex
MICROCHIP TECHNOLOGY (INDIA) P,Forex
OSI TECHNOLOGIES PRIVATE LIMIT,Forex
KAMALA AGENCIES,Forex
GENERACION EOLICA INDIA LIMITE,Forex
CHOLAMANDALAM FACTORING LIMITE,Forex
LANCO INFRATECH LIMITED,Forex
ITD CEMENTATION INDIA LIMITED,Forex
CHAITANYA GODAVARI GRAMEENA BA,Forex
HTC HOLDINGS PRIVATE LIMITED,Forex
R AND S ENGINEERING (INDIA) PR,Forex
ALSTOM BHARAT FORGE POWER LTD,Forex
DIAMONDS 'R' US-SEZ-SACHIN,Forex
SIFY TECHNOLOGIES LIMITED,Forex
THE ALAPPUZHA DISTRICT CO-OPER,Forex
GOFRUGAL TECHNOLOGIES PVT LTD,Forex
LOUIS BERGER GROUP INC-NELLORE,Forex
CENTURY OVERSEAS,Forex
AFCONS INFRASTRUCTURE LIMITED,Forex
SIMPELX INFRASTRUCTURES LIMITE,Forex
SWAL CORPORATION LIMITED,Forex
VILLAGE FINANCIAL SERVICES PVT,Forex
FAIRFIELD ATLAS  LIMITED,Forex
SUKAVALA RENEWABLE ENERGY PRIV,Forex
SUN TV NETWORK LIMITED,Forex
ADECCO INDIA PRIVATE LIMITED,Forex
WATERS INDIA PVT LTD,Forex
G R THANGAMALIGAI JEWELLERS PR,Forex
OMAXE LIMITED,Forex
MAHANAGAR GAS LIMITED,Forex
GDN ENTERPRISES PRIVATE LIMITE,Forex
IDMC LIMITED,Forex
AIRLINE ALLIED SERVICES LIMITE,Forex
SONGWON SPECIALTY CHEMICALS IN,Forex
BLUE SQUARE CONSULTANT DIV OF,Forex
ANNAPURNA MICRO FINANCE PRIVAT,Forex
FIRESTAR INTERNATIONAL PRIVATE,Forex
IL&FS ENERGY DEVELOPMENT COMPA,Forex
UJJIVAN FINANCIAL SERVICES  LT,Forex
METRO DAIRY LIMITED,Forex
ASCENT INDIA FUND,Forex
IFMR CAPITAL MIB XII SA 2015,Forex
OLMEC TECHNOLOGIES PRIVATE LIM,Forex
MERCHANT SHIPPING SERVICES PRI,Forex
GRIND MASTER MACHINE PRIVATE L,Forex
MAITHAN ALLOYS LTD,Forex
FIRST AMERICAN (INDIA) PRIVATE,Forex
STRIDES ARCOLAB LIMITED - ESCR,Forex
POOMER HOSIERIES,Forex
BENGAL PEERLESS HOUSING DEV CO,Forex
MDS PACIFIC INDIA PVT LTD,Forex
TIANJIN TIANSHI INDIA PVT. LTD,Forex
GOL OFFSHORE LIMITED,Forex
SUGUNA FOODS PVT LIMITED,Forex
ATRIA CONVERGENCE TECHNOLOGIES,Forex
FIITJEE LIMITED,Forex
CAVIUM NETWORKS (I) PVT LTD,Forex
AVH PRIVATE LTD,Forex
JAYPEE INFRATECH LIMITED,Forex
COTIVITI INDIA PRIVATE LIMITED,Forex
SHIV SAHAI & SONS (INDIA) PRIV,Forex
FUGRO SURVEY (INDIA) PVT. LTD.,Forex
SAHA INFRATECH PRIVATE LIMITED,Forex
GOPALAN ENTERPRISES (INDIA) PR,Forex
BOMBAY MERCANTILE  CO OPERATIV,Forex
M/S KAMALJEET SINGH AHLUWALIAY,Forex
INCAP CONTRACT MANUFACTURING S,Forex
HEALTH IMPETUS PRIVATE LIMITED,Forex
RAJKOT MUNICIPAL CORPORATION,Forex
CROMPTON GREAVES LIMITED,Forex
ANG RESOURCES LIMITED (GARIA C,Forex
SHAPOORJI PALLONJI & CO PRIVAT,Forex
SOLAR EXPORTS,Forex
ROLEX LOGISTICS PRIVATE LIMITE,Forex
MANUGRAPH INDIA LIMITED,Forex
VIJAYA PRODUCTIONS PRIVATE LIM,Forex
HINDUSTAN STEEL WORKS CONSTRUC,Forex
MOUNTAIN VALLEY SPRINGS INDIA,Forex
UNITED HEALTH SYSTEMS PRIVATE,Forex
FACTSET SYSTEMS INDIA PVT LTD,Forex
KOSO INDIA  PRIVATE LTD,Forex
ACCEL PARTNERS INDIA LLP,Forex
YOUNGSHIN AUTOMOTIVE INDIA PRI,Forex
M/S. SUNIL HITECH ENGINEERS LI,Forex
KARP IMPEX LTD.,Forex
SEARS IT & MANAGEMENT SERVICES,Forex
TRN ENERGY  PRIVATE LTD-DISTRI,Forex
EN WIND POWER PRIVATE LIMITED,Forex
IG3 INFRA LIMITED,Forex
INOX LEISURE LIMITED,Forex
MUSASHI AUTO PARTS INDIA PVT L,Forex
ATLAS COPCO (INDIA) LTD - ECS,Forex
ESAB INDIA LTD,Forex
ACV PRODUCTS PRIVATE LIMITED,Forex
LORE SOFTWARE SOLUTIONS PVT LT,Forex
HYDERABAD DUTY FREE RETAIL LIM,Forex
CAVENDESH INDUSTRIES LTD KANPU,Forex
HTC GLOBAL SERVICES (INDIA) PV,Forex
EDISON ENERGY INDIA PRIVATE LI,Forex
NEXTEER AUTOMOTIVE INDIA PRIVA,Forex
IL&FS EQUITY DIVIDEND ACCOUNT,Forex
FUSION MICRO FINANCE PRIVATE L,Forex
GEMFIELDS (INDIA) PRIVATE LIMI,Forex
ACME SOLAR ENERGY PRIVATE LIMI,Forex
LIC OF INDIA A/C NO 3 SURPLUS,Forex
NATURES BASKET LIMITED,Forex
CLIENT SERVER SOFTWARE PVT LTD,Forex
PRARA LEATHERS PRIVATE LIMITED,Forex
APOLLO ENERGY COMPANY LIMITED,Forex
OLIVE REALCON PRIVATE LIMITED,Forex
NOSCH LABS PRIVATE LIMITED,Forex
HITECH HATCH FRESH PRIVATE LIM,Forex
QVC REALTY CO LIMITED,Forex
RADHA RAJALAKSHMI HOTELS PRIVA,Forex
RETECK ENVIROTECH PRIVATE LIMI,Forex
OPUS SOFTWARE TECHNOLOGIES PRI,Forex
TEXON (INDIA) PRIVATE LIMITED,Forex
VISHAY PRECISION TRANSDUCERS I,Forex
RISING SUN FILMS PRIVATE LTD A,Forex
ATC TIRES PVT. LTD.,Forex
ALLIED BLENDERS AND DISTILLERS,Forex
RAMKY INFRASTRUCTURE LIMITED,Forex
DEWAN HOUSING FINANCE CORPORAT,Non Forex
LIC HOUSING FINANCE LIMITED-EX,Non Forex
RELIANCE HOME FINANCE  LTD - D,Non Forex
HIRANANDANI FOUNDATION SCHOOL(,Non Forex
JOHNSON GRAMMAR SCHOOL EDUCATI,Non Forex
HIRANANDANI FOUNDATION SCHOOL,Non Forex
GNYANDHAM SCHOOL-K G SECTION,Non Forex
GREEN WAY MODERN SCHOOL,Non Forex
MUTHOOT HOUSING FINANCE COMPAN,Non Forex
HOLY ANGELS CONVENT SCHOOL-COM,Non Forex
PANSCHOOL EDUCATIONAL ACCESS P,Non Forex
RYAN INTERNATIONAL SCHOOL,Non Forex
EMERALD VALLEY PUBLIC SCHOOL,Non Forex
MANAPPURAM HOME FINANCE PRIVAT,Non Forex
KHUSH HOUSING FINANCE PRIVATE,Non Forex
HOLY INNOCENT NURSERY SCHOOL E,Non Forex
OXFORD ENGLISH SCHOOL,Non Forex
S S AJMERA HIGH SCHOOL AND JUN,Non Forex
ST KARENS MONTESSORI SCHOOL,Non Forex
G. D. SOMANI MEMORIAL SCHOOL,Non Forex
PEOPLE COMBINE PLAY SCHOOL INI,Non Forex
G D GOENKA PUBLIC SCHOOL MODEL,Non Forex
DOABA PUBLIC SEN SEC SCHOOL,Non Forex
SCHOOL FOR MERITORIOUS STUDENT,Non Forex
MIND TREE SCHOOL,Non Forex
JULIAN NURSERY SCHOOL REVENUE,Non Forex
SPRING FIELDS PUBLIC SCHOOL(PR,Non Forex
MORNING STAR HIGH SCHOOL,Non Forex
MONTESSORI (E M) HIGH SCHOOL A,Non Forex
ST PAUL S SR SEC SCHOOL ST PAU,Non Forex
SPRINGFIELDS PUBLIC SCHOOL (MI,Non Forex
INTERNATIONAL SCHOOL OF BUSINE,Non Forex
G D GOENKA PUBLIC SCHOOL DWARK,Non Forex
MEDIA 9 SCHOOL OF JOURNALISM A,Non Forex
S S AJMERA SCHOOL AND JUNIOR C,Non Forex
JMK INTERNATIONAL SCHOOL,Non Forex
INDIA INFOLINE HOUSING FINANCE,Non Forex
HOLY CROSS SCHOOL,Non Forex
GIC HOUSING FINANCE LTD-CP IPA,Non Forex
DELHI PUBLIC SCHOOL A UNIT OF,Non Forex
DELHI PUBLIC SCHOOL ETAWAH,Non Forex
SPRINGWOOD SCHOOL,Non Forex
NEW PITHAMPUR PUBLIC SCHOOL,Non Forex
J P WORLD SCHOOL,Non Forex
FAIRLANDS A FOUNDATION SCHOOL,Non Forex
DELHI PUBLIC SCHOOL,Non Forex
SCHOOL OF POOR AND MERITORIOUS,Non Forex
INDO BRITISH SCHOOL,Non Forex
PARADISE ENGLISH MEDIUM SCHOOL,Non Forex
ST. ANTHONY S SCHOOL,Non Forex
SWAMI VIVEKANAND PUBLIC SCHOOL,Non Forex
INDIANOIL-ADANI GAS PRIVATE LI,Non Forex
SPRING FIELD CONVENT SCHOOL BA,Non Forex
LORD KRISHNA SCHOOL OF SCIENCE,Non Forex
SAINT MOMINA SCHOOL AVAS VIKAS,Non Forex
J P INTERNATIONAL SCHOOL,Non Forex
MAHBERT NURSERY SCHOOL,Non Forex
RYAN INTERNATIONAL SCHOOL (NUR,Non Forex
IVY WORLD SCHOOL,Non Forex
SANJUBA HIGH SCHOOL (C.B.S.E.),Non Forex
NEW ERA PUBLIC SCHOOL,Non Forex
DAYANAND PUBLIC SCHOOL ARYA SM,Non Forex
DAISY DALES SR SEC SCHOOL,Non Forex
SHIVALIK PUBLIC SCHOOL,Non Forex
REGENCY NALANDA PUBLIC SCHOOL,Non Forex
ORANGE CITY HOUSING FINANCE LI,Non Forex
SAINT RAMAN SCHOOL (MIDDLE),Non Forex
DR MPS WORLD SCHOOL,Non Forex
NATIONAL TRUST HOUSING FINANCE,Non Forex
QUEEN MARY SCHOOL MOKOKCHUNG,Non Forex
GREEN VALLEY PLAYWAY SCHOOL,Non Forex
GANDHI PUBLIC SCHOOL,Non Forex
SPRINGDALE SCHOOL PRIVATE LIMI,Non Forex
JAY AMBE INTERNATIONAL SCHOOL,Non Forex
M.P.S.M. GRACE CONVENT SCHOOL,Non Forex
ST PAUL S SCHOOL,Non Forex
INDIA KIDS SCHOOL,Non Forex
MODERN SCHOOL,Non Forex
ROYALE INTERNATIONAL SCHOOL OF,Non Forex
JULIEN DAY SCHOOL NURSERY REVE,Non Forex
SOMERVILLE SCHOOL (VASUNDHARA,Non Forex
PUBLIC SCHOOL DARBHANGA,Non Forex
SECRETARY PUNJAB SCHOOL EDUCAT,Non Forex
FORTUNE INTEGRATED HOME FINANC,Non Forex
HOLY WRIT HIGH SCHOOL,Non Forex
LITTLE S PRIMARY SCHOOL,Non Forex
G D GOENKA PUBLIC SCHOOL,Non Forex
MAGMA HOUSING FINANCE,Non Forex
MAHINDRA RURAL HOUSING FINANCE,Non Forex
DHFL VYSYA HOUSING FINANCE LTD,Non Forex
INDUS VALLEY WORLD SCHOOL,Non Forex
GSVK HIGH SCHOOL GIRLS KOLLEGA,Non Forex
L & T HOUSING FINANCE LTD COMM,Non Forex
OI PLAY SCHOOL SARJAPUR ROAD,Non Forex
PLANET E SCHOOL-TRANSPORT FEE,Non Forex
"MISSION SCHOOL JATNI, (UNDER J",Non Forex
ST ANN'S MATRICULATION SCHOOL,Non Forex
ROYAAL WORLD SCHOOL,Non Forex
KEONJHAR SCHOOL OF ENGINEERING,Non Forex
FASTTRACK HOUSING FINANCE LIMI,Non Forex
FAUST PLAY SCHOOL,Non Forex
"SUNRISE (ENG, MED.) SCHOOL",Non Forex
MICRO HOUSING FINANCE CORPORAT,Non Forex
DELHI PUBLIC SCHOOL PATIALA,Non Forex
ICICI HOME FINANCE COMPANY LIM,Non Forex
R A N PUBLIC SCHOOL BHURARANI,Non Forex
SHERWOOD SCHOOL,Non Forex
MAJHA PUBLIC SCHOOL,Non Forex
NEST SCHOOL,Non Forex
SHANTI ASIATIC SCHOOL-(ADIVISI,Non Forex
GOVT HR SEC SCHOOL MANIKCHAURI,Non Forex
KIMBER LITE SCHOOL,Non Forex
ESSAR BULK TERMINAL (SALAYA) L,Non Forex
ESSAR TRADING COMPANY,Non Forex
ESSAR POWER HAZIRA LIMITED,Non Forex
ESSAR SECURITIES LTD,Non Forex
MISSION DIRECTORATE AMRUT CENT,Non Forex
NPS TRUST  A/C -  RELIANCE CAP,Non Forex
QWIKCILVER SOLUTIONS PRIVATE L,Non Forex
JT DIRECTOR TECHNICAL EDUCATIO,Non Forex
STYRAX COMMODITIES LIMITED,Non Forex
ECAP EQUITIES LIMITED,Non Forex
RELIANCE POWER LIMITED,Non Forex
RELIANCE COMMUNICATIONS LIMITE,Non Forex
NLC FINAL DIVIDEND 2013-14,Non Forex
D Y UPPAR,Non Forex
SECL BAIKUNTHPUR AREA,Non Forex
RELIGARE FINVEST LIMITED,Non Forex
DAHLIA COMMODITIES SERVICES PR,Non Forex
SRI CHAITANYA STUDENTS FACILIT,Non Forex
ICICI PRUDENTIAL  MUTUAL FUND-,Non Forex
DISTRICT LAND ACQUISITION OFFI,Non Forex
RAJPUR SONARPUR MUNICIPALITY (,Non Forex
DIRECTOR GPF DIRECTORATE JHARK,Non Forex
CONSORTIUM OF SFI MEDICAL AND,Non Forex
KANISHT  RESHAM NIRIKSHAK AVAM,Non Forex
DY CHIEF ACCOUNTS OFFICER ZONA,Non Forex
L&T INFRA DEBT FUND LIMITED,Non Forex
LIC OF INDIA (B O KAIRANA A/C,Non Forex
POSOCO STOA CTU A/C,Non Forex
CSC E GOVERNANCE SERVICES INDI,Non Forex
IDBI TRUSTEESHIP SERVICES LIMI,Non Forex
ERLDC-SHORT TERM OPEN ACCESS A,Non Forex
SREE GOKOLAM CHIT & FINANCE CO,Non Forex
ESAF MICRO FINANCE AND INVESTM,Non Forex
MARGADARSI CHITS (KARNATAKA) P,Non Forex
ODISHA LIFT IRRIGATION CORPORA,Non Forex
SHREYASH RETAIL PRIVATE LIMITE,Non Forex
DEPUTY DIRECTOR (PENSION),Non Forex
DISTRICT WELFARE OFFICER DARBH,Non Forex
DISTRICT WELFARE OFFICER RANCH,Non Forex
JOINT DIRECTOR TECHNICAL EDUCA,Non Forex
MARGADARSI CHIT FUND (P) LTD,Non Forex
JILA KALYAN PADADHIKARI VAISHA,Non Forex
INDIABULLS COMMERCIAL CREDIT L,Non Forex
DISTRICT PROJECT MANAGEMENT UN,Non Forex
MARGADARSI CHIT FUND PRIVATE L,Non Forex
HDFC  MUTUAL FUND- INCOME DIST,Non Forex
SHCIL-E STAMPING NCT OF DELHI,Non Forex
KAKATIYA URBAN DEVELOPMENT AUT,Non Forex
HOLTEC INTERNATIONAL,Non Forex
DIVIDEND ACCOUNT - GGL FY 2015,Non Forex
JDA - REFUND A/C OF JHARNA VIH,Non Forex
SANGAM MILK PRODUCER COMPANY L,Non Forex
GSFS CAPITAL AND SECURITIES LT,Non Forex
HANSA ANIL MEHTA,Non Forex
MUKESH M PANCHMATIA HUF,Non Forex
NIPA UTPAL SHETH,Non Forex
SHAILESH M PANCHMATIA (HUF),Non Forex
SHEETAL AMAN SHAH,Non Forex
EXECUTIVE ENGINEER (AGRIL) C.A,Non Forex
P SUBRAMANIAM,Non Forex
ORISSA LIVESTOCK RESOURCES DEV,Non Forex
PRAYAG INFOTECH HI RISE LIMITE,Non Forex
EAST DELHI WASTE PROCESSING CO,Non Forex
SDO(REVENUE) & LAND ACQUISITIO,Non Forex
PATAKA INDUSTRIES PRIVATE LTD,Non Forex
FINOLEX INDUSTRIES LIMITED - E,Non Forex
DISTRICT SOCIAL WELFARE OFFICE,Non Forex
DISTRICT WELFARE OFFICER SARAN,Non Forex
DISTRICT WELFARE OFFICER PATNA,Non Forex
"TAHASILDAR,BARI",Non Forex
RAVINDER KUMAR & CO,Non Forex
FUTURE TRADESOLUTION LLP,Non Forex
KAILASH H BIYANI,Non Forex
RAVI VINOD BIYANI,Non Forex
KETAN HARKISHAN MARWADI,Non Forex
MITESH SHAH,Non Forex
SANDIP HARKISHAN MARWADI,Non Forex
DEVEN HARKISHAN MARWADI,Non Forex
DILIP JAYANTILAL SHAH,Non Forex
SUNNY RASHMIKANT THAKKAR,Non Forex
MYSORE NIRMITHI KENDRA,Non Forex
PEGASUS GROUP ELEVEN UNICORP T,Non Forex
NAGAR NIGAM LUCKNOW SAMAGRA VI,Non Forex
E E PVVNL EDD BAGHPAT-COMPOUND,Non Forex
ESSENTIAL HOSPITALITY PVT LTD,Non Forex
RENEW WIND ENERGY (SHIVPUR) P.,Non Forex
COMMISSIONER MCF RICKSHAWS HAL,Non Forex
MID DAY MEAL SCHEME,Non Forex
DISTRICT SOCIAL SECURITY OFFIC,Non Forex
DIRECTOR OF HORTICULTURE-RKVY,Non Forex
MARGADARSHI CHITS (KARNATAKA),Non Forex
OMAXE CITY CENTRE ( A PROJECT,Non Forex
NATIONAL STOCK EXCHANGE OF IND,Non Forex
PANVEL NAGAR PARISHAD AMRUT YO,Non Forex
SHARE MICROFIN LIMITED,Non Forex
NAVIMUMBAI MUNICIPAL CORPORATI,Non Forex
SIKKIM STATE TAX INTERNET COLL,Non Forex
CONSULTING ROOMS PRIVATE LIMIT,Non Forex
MUNICIPAL CORPORATION NPS A/C,Non Forex
ROUNAK CONSULTANTS PVT LTD,Non Forex
LIC JORHAT DIVISIONAL OFFICE A,Non Forex
INDIAN RENEWABLE ENERGY FOUNDA,Non Forex
PATEL KNR INFRASTRUCTURES LIMI,Non Forex
DISTRICT WELFARE OFFICER MUZAF,Non Forex
SNF (INDIA) PRIVATE LIMITED,Non Forex
SIXVENTS POWER & ENGINEERING L,Non Forex
POSCO INDIA DELHI STEEL PROCES,Non Forex
FRIGERIO CONSERVA ALLANA PRIVA,Non Forex
KINGS RADIO EXIM PRIVATE LIMIT,Non Forex
SINTEX INFRA PROJECTS LIMITED,Non Forex
NAGAR NIGAM LUCKNOW ETENDERING,Non Forex
PATAKA INDUSTRIES PRIVATE LIMI,Non Forex
INCHARGE MANAGER SRIKAKULAM (V,Non Forex
DISTRICT WELFARE OFFICER MADHE,Non Forex
SHCIL SERVICES LIMITED NSE CUR,Non Forex
LIC OF INDIA- DO (A/C NO.IV),Non Forex
DISTRICT REVENUE OFFICER CUM L,Non Forex
JOINT DIRECTOR HIGHER EDUCATIO,Non Forex
ESTATE OFFICER GMADA PURAB PRE,Non Forex
NOTIFIED AREA OFFICER A/C WATE,Non Forex
DLF PROMENADE LIMITED-DEBT SER,Non Forex
EASTERN COALFIELDS LIMITED ARE,Non Forex
PATLIPUTRA CENTRAL CO-OPERATIV,Non Forex
EVER GREEN TRADING CO,Non Forex
DLF EMPORIO LIMITED DEBT SERVI,Non Forex
INDIA POWER CORPORATION (HALDI,Non Forex
INDIA STRUCTURED ASSET TRUST -,Non Forex
PRITHVI FINMART PRIVATE LIMITE,Non Forex
SARDAR BHILADWALA PARDI PEOPLE,Non Forex
GENEXT HARDWARE & PARKS PRIVAT,Non Forex
KMC  -  OCTROI ( CASH COLL),Non Forex
SHREE BALAJI BILLING CUM PAYME,Non Forex
DAYANAND PRASAD SINHA AND COMP,Non Forex
TAHASILDAR HINDOL,Non Forex
RENEW WIHD ENERGY (KARNATAKA),Non Forex
SHRUTI POWER PROJECTS PVT LTD,Non Forex
MAHANADI COALFIELDS LIMITED,Non Forex
IL&FS FINANCIAL SERVICES LTD,Non Forex
